   X,    Y,    Latitude,   Longitude, VRATE_201906111700
   1,    1,   48.862147, -101.607558,    11000.000
   2,    1,   48.866940, -101.456441,    11000.000
   3,    1,   48.871623, -101.305308,    10400.000
   4,    1,   48.876194, -101.154159,     9900.000
   5,    1,   48.880654, -101.002995,     8000.000
   6,    1,   48.885004, -100.851816,     8000.000
   7,    1,   48.889242, -100.700623,     6800.000
   8,    1,   48.893369, -100.549415,     5600.000
   9,    1,   48.897386, -100.398194,     4900.000
  10,    1,   48.901291, -100.246959,     4300.000
  11,    1,   48.905085, -100.095711,     4300.000
  12,    1,   48.908768,  -99.944450,     5000.000
  13,    1,   48.912340,  -99.793177,     4900.000
  14,    1,   48.915801,  -99.641892,     4000.000
  15,    1,   48.919151,  -99.490596,     2600.000
  16,    1,   48.922390,  -99.339288,     2600.000
  17,    1,   48.925518,  -99.187970,     2500.000
  18,    1,   48.928535,  -99.036641,     3200.000
  19,    1,   48.931440,  -98.885302,     3600.000
  20,    1,   48.934235,  -98.733953,     3600.000
  21,    1,   48.936919,  -98.582595,     4000.000
  22,    1,   48.939491,  -98.431228,     4400.000
  23,    1,   48.941953,  -98.279852,     4100.000
  24,    1,   48.944303,  -98.128469,     4300.000
  25,    1,   48.946542,  -97.977077,     4300.000
  26,    1,   48.948670,  -97.825678,     4500.000
  27,    1,   48.950688,  -97.674272,     4200.000
  28,    1,   48.952594,  -97.522860,     3900.000
  29,    1,   48.954389,  -97.371441,     3300.000
  30,    1,   48.956073,  -97.220016,     5500.000
  31,    1,   48.957645,  -97.068586,     5000.000
  32,    1,   48.959107,  -96.917150,     4500.000
  33,    1,   48.960458,  -96.765710,     3900.000
  34,    1,   48.961697,  -96.614265,     3900.000
  35,    1,   48.962826,  -96.462816,     3200.000
  36,    1,   48.963843,  -96.311364,     2000.000
  37,    1,   48.964749,  -96.159908,     1700.000
  38,    1,   48.965545,  -96.008449,     2400.000
  39,    1,   48.966229,  -95.856988,     2400.000
  40,    1,   48.966802,  -95.705525,     4300.000
  41,    1,   48.967264,  -95.554060,     4800.000
  42,    1,   48.967615,  -95.402594,     5600.000
  43,    1,   48.967854,  -95.251126,     5600.000
  44,    1,   48.967983,  -95.099658,      200.000
   1,    2,   48.961514, -101.614937,    10300.000
   2,    2,   48.966308, -101.463652,    10400.000
   3,    2,   48.970992, -101.312350,    10800.000
   4,    2,   48.975564, -101.161033,     9900.000
   5,    2,   48.980026, -101.009701,     8900.000
   6,    2,   48.984376, -100.858354,     8900.000
   7,    2,   48.988615, -100.706992,     6900.000
   8,    2,   48.992744, -100.555615,     5900.000
   9,    2,   48.996761, -100.404225,     4800.000
  10,    2,   49.000667, -100.252822,     3600.000
  11,    2,   49.004462, -100.101405,     3600.000
  12,    2,   49.008146,  -99.949976,     5200.000
  13,    2,   49.011719,  -99.798534,     4900.000
  14,    2,   49.015181,  -99.647080,     5000.000
  15,    2,   49.018532,  -99.495615,     5000.000
  16,    2,   49.021771,  -99.344138,     4700.000
  17,    2,   49.024900,  -99.192651,     5500.000
  18,    2,   49.027917,  -99.041153,     4700.000
  19,    2,   49.030824,  -98.889645,     4200.000
  20,    2,   49.033619,  -98.738127,     4200.000
  21,    2,   49.036303,  -98.586600,     4100.000
  22,    2,   49.038877,  -98.435064,     3900.000
  23,    2,   49.041339,  -98.283519,     2400.000
  24,    2,   49.043690,  -98.131967,     2400.000
  25,    2,   49.045929,  -97.980406,      900.000
  26,    2,   49.048058,  -97.828838,     5300.000
  27,    2,   49.050076,  -97.677263,     4900.000
  28,    2,   49.051982,  -97.525681,     5600.000
  29,    2,   49.053778,  -97.374093,     5600.000
  30,    2,   49.055462,  -97.222499,     6800.000
  31,    2,   49.057035,  -97.070899,     6800.000
  32,    2,   49.058497,  -96.919294,     6400.000
  33,    2,   49.059848,  -96.767684,     5600.000
  34,    2,   49.061088,  -96.616070,     5600.000
  35,    2,   49.062217,  -96.464452,     4300.000
  36,    2,   49.063234,  -96.312830,     2500.000
  37,    2,   49.064141,  -96.161205,     1700.000
  38,    2,   49.064936,  -96.009577,     2300.000
  39,    2,   49.065621,  -95.857947,     1300.000
  40,    2,   49.066194,  -95.706314,     3000.000
  41,    2,   49.066656,  -95.554680,     5000.000
  42,    2,   49.067007,  -95.403044,    16600.000
  43,    2,   49.067247,  -95.251407,    16600.000
  44,    2,   49.067375,  -95.099770,      200.000
   1,    3,   49.060793, -101.622332,    10500.000
   2,    3,   49.065589, -101.470878,    10500.000
   3,    3,   49.070274, -101.319408,    10900.000
   4,    3,   49.074847, -101.167923,    10200.000
   5,    3,   49.079310, -101.016421,    11200.000
   6,    3,   49.083661, -100.864905,     9800.000
   7,    3,   49.087902, -100.713374,     7700.000
   8,    3,   49.092031, -100.561829,     6300.000
   9,    3,   49.096049, -100.410270,     5900.000
  10,    3,   49.099956, -100.258698,     5900.000
  11,    3,   49.103752, -100.107112,     5500.000
  12,    3,   49.107437,  -99.955513,     5700.000
  13,    3,   49.111011,  -99.803902,     5800.000
  14,    3,   49.114473,  -99.652280,     5000.000
  15,    3,   49.117825,  -99.500645,     5300.000
  16,    3,   49.121065,  -99.348999,     6700.000
