   X,    Y,    Latitude,   Longitude, TMP_201906111700
  41,    3,   49.165960,  -95.555301,      -59.890
  42,    3,   49.166311,  -95.403495,      -59.890
  43,    3,   49.166551,  -95.251689,      -59.710
  44,    3,   49.166680,  -95.099881,      -59.710
   1,    4,   49.159986, -101.629744,      -60.970
   2,    4,   49.164782, -101.478121,      -60.970
   3,    4,   49.169468, -101.326482,      -60.790
   4,    4,   49.174043, -101.174827,      -60.790
   5,    4,   49.178506, -101.023157,      -60.790
   6,    4,   49.182859, -100.871472,      -60.610
   7,    4,   49.187100, -100.719771,      -60.610
   8,    4,   49.191230, -100.568057,      -60.610
   9,    4,   49.195249, -100.416329,      -60.610
  10,    4,   49.199157, -100.264587,      -60.430
  11,    4,   49.202954, -100.112832,      -60.430
  12,    4,   49.206640,  -99.961064,      -60.430
  13,    4,   49.210215,  -99.809283,      -60.430
  14,    4,   49.213678,  -99.657491,      -60.430
  15,    4,   49.217030,  -99.505687,      -60.430
  16,    4,   49.220272,  -99.353871,      -60.430
  17,    4,   49.223402,  -99.202045,      -60.430
  18,    4,   49.226421,  -99.050208,      -60.610
  19,    4,   49.229328,  -98.898361,      -60.610
  20,    4,   49.232125,  -98.746504,      -60.610
  21,    4,   49.234810,  -98.594637,      -60.610
  22,    4,   49.237385,  -98.442762,      -60.610
  23,    4,   49.239848,  -98.290878,      -60.610
  24,    4,   49.242200,  -98.138986,      -60.430
  25,    4,   49.244441,  -97.987086,      -60.430
  26,    4,   49.246571,  -97.835178,      -60.430
  27,    4,   49.248589,  -97.683264,      -60.430
  28,    4,   49.250497,  -97.531342,      -60.430
  29,    4,   49.252293,  -97.379414,      -60.430
  30,    4,   49.253978,  -97.227480,      -60.430
  31,    4,   49.255552,  -97.075541,      -60.250
  32,    4,   49.257015,  -96.923596,      -60.250
  33,    4,   49.258366,  -96.771647,      -60.250
  34,    4,   49.259607,  -96.619693,      -60.250
  35,    4,   49.260736,  -96.467735,      -60.070
  36,    4,   49.261754,  -96.315774,      -60.070
  37,    4,   49.262661,  -96.163809,      -60.070
  38,    4,   49.263457,  -96.011841,      -59.890
  39,    4,   49.264142,  -95.859870,      -59.890
  40,    4,   49.264715,  -95.707898,      -59.890
  41,    4,   49.265177,  -95.555923,      -59.890
