   X,    Y,    Latitude,   Longitude, HGT_201906111700
  41,    3,   49.165960,  -95.555301,    18236.000
  42,    3,   49.166311,  -95.403495,    18236.168
  43,    3,   49.166551,  -95.251689,    18235.568
  44,    3,   49.166680,  -95.099881,    18234.689
   1,    4,   49.159986, -101.629744,    18252.529
   2,    4,   49.164782, -101.478121,    18252.010
   3,    4,   49.169468, -101.326482,    18251.369
   4,    4,   49.174043, -101.174827,    18250.576
   5,    4,   49.178506, -101.023157,    18249.762
   6,    4,   49.182859, -100.871472,    18248.969
   7,    4,   49.187100, -100.719771,    18248.258
   8,    4,   49.191230, -100.568057,    18247.617
   9,    4,   49.195249, -100.416329,    18247.025
  10,    4,   49.199157, -100.264587,    18246.594
  11,    4,   49.202954, -100.112832,    18246.416
  12,    4,   49.206640,  -99.961064,    18246.113
  13,    4,   49.210215,  -99.809283,    18245.529
  14,    4,   49.213678,  -99.657491,    18245.240
  15,    4,   49.217030,  -99.505687,    18245.209
  16,    4,   49.220272,  -99.353871,    18244.865
  17,    4,   49.223402,  -99.202045,    18244.057
  18,    4,   49.226421,  -99.050208,    18243.633
  19,    4,   49.229328,  -98.898361,    18243.465
  20,    4,   49.232125,  -98.746504,    18243.361
  21,    4,   49.234810,  -98.594637,    18243.449
  22,    4,   49.237385,  -98.442762,    18242.641
  23,    4,   49.239848,  -98.290878,    18241.762
  24,    4,   49.242200,  -98.138986,    18241.080
  25,    4,   49.244441,  -97.987086,    18240.674
  26,    4,   49.246571,  -97.835178,    18240.168
  27,    4,   49.248589,  -97.683264,    18239.850
  28,    4,   49.250497,  -97.531342,    18239.881
  29,    4,   49.252293,  -97.379414,    18239.816
  30,    4,   49.253978,  -97.227480,    18239.209
  31,    4,   49.255552,  -97.075541,    18238.232
  32,    4,   49.257015,  -96.923596,    18237.609
  33,    4,   49.258366,  -96.771647,    18237.186
  34,    4,   49.259607,  -96.619693,    18236.842
  35,    4,   49.260736,  -96.467735,    18236.545
  36,    4,   49.261754,  -96.315774,    18236.258
  37,    4,   49.262661,  -96.163809,    18236.018
  38,    4,   49.263457,  -96.011841,    18235.816
  39,    4,   49.264142,  -95.859870,    18235.594
  40,    4,   49.264715,  -95.707898,    18235.416
  41,    4,   49.265177,  -95.555923,    18235.434
  42,    4,   49.265528,  -95.403948,    18235.266
  43,    4,   49.265768,  -95.251971,    18235.072
  44,    4,   49.265897,  -95.099993,    18234.793
   1,    5,   49.259090, -101.637172,    18252.777
   2,    5,   49.263888, -101.485380,    18252.145
   3,    5,   49.268575, -101.333572,    18251.449
   4,    5,   49.273150, -101.181747,    18250.736
   5,    5,   49.277615, -101.029908,    18249.984
   6,    5,   49.281968, -100.878053,    18249.168
   7,    5,   49.286211, -100.726183,    18248.385
   8,    5,   49.290342, -100.574299,    18247.713
   9,    5,   49.294362, -100.422401,    18247.145
  10,    5,   49.298271, -100.270489,    18246.938
  11,    5,   49.302068, -100.118564,    18247.488
  12,    5,   49.305755,  -99.966626,    18246.969
  13,    5,   49.309330,  -99.814676,    18246.168
  14,    5,   49.312795,  -99.662713,    18245.682
  15,    5,   49.316148,  -99.510739,    18245.496
  16,    5,   49.319390,  -99.358754,    18244.842
  17,    5,   49.322521,  -99.206757,    18244.496
  18,    5,   49.325540,  -99.054750,    18244.232
  19,    5,   49.328449,  -98.902733,    18243.809
  20,    5,   49.331246,  -98.750706,    18243.217
  21,    5,   49.333932,  -98.598670,    18243.473
  22,    5,   49.336507,  -98.446624,    18242.529
  23,    5,   49.338971,  -98.294570,    18241.576
  24,    5,   49.341323,  -98.142507,    18240.977
  25,    5,   49.343565,  -97.990437,    18240.568
  26,    5,   49.345695,  -97.838359,    18240.160
  27,    5,   49.347714,  -97.686274,    18239.793
  28,    5,   49.349622,  -97.534182,    18239.369
  29,    5,   49.351419,  -97.382084,    18238.904
  30,    5,   49.353104,  -97.229980,    18238.480
  31,    5,   49.354678,  -97.077870,    18238.064
  32,    5,   49.356142,  -96.925755,    18237.682
  33,    5,   49.357493,  -96.773635,    18237.320
  34,    5,   49.358734,  -96.621511,    18237.010
  35,    5,   49.359864,  -96.469382,    18236.682
  36,    5,   49.360882,  -96.317250,    18236.385
  37,    5,   49.361789,  -96.165115,    18236.137
  38,    5,   49.362585,  -96.012976,    18235.938
  39,    5,   49.363270,  -95.860835,    18235.729
  40,    5,   49.363843,  -95.708692,    18235.568
  41,    5,   49.364306,  -95.556547,    18235.393
  42,    5,   49.364657,  -95.404401,    18235.209
  43,    5,   49.364897,  -95.252254,    18235.080
  44,    5,   49.365026,  -95.100106,    18234.912
   1,    6,   49.358106, -101.644617,    18253.105
   2,    6,   49.362905, -101.492655,    18252.537
   3,    6,   49.367593, -101.340677,    18251.865
   4,    6,   49.372169, -101.188683,    18251.160
   5,    6,   49.376635, -101.036673,    18250.354
   6,    6,   49.380990, -100.884648,    18249.449
   7,    6,   49.385233, -100.732609,    18248.561
   8,    6,   49.389365, -100.580555,    18247.881
   9,    6,   49.393386, -100.428486,    18247.713
  10,    6,   49.397296, -100.276405,    18248.385
  11,    6,   49.401094, -100.124309,    18250.033
  12,    6,   49.404782,  -99.972201,    18249.168
  13,    6,   49.408358,  -99.820081,    18247.408
  14,    6,   49.411823,  -99.667948,    18246.137
  15,    6,   49.415177,  -99.515803,    18245.568
  16,    6,   49.418420,  -99.363648,    18244.992
  17,    6,   49.421551,  -99.211481,    18244.832
  18,    6,   49.424571,  -99.059303,    18244.674
  19,    6,   49.427481,  -98.907116,    18244.408
  20,    6,   49.430279,  -98.754918,    18243.801
  21,    6,   49.432965,  -98.602711,    18242.992
  22,    6,   49.435541,  -98.450495,    18242.121
  23,    6,   49.438005,  -98.298270,    18241.465
  24,    6,   49.440358,  -98.146037,    18241.088
  25,    6,   49.442600,  -97.993796,    18240.682
  26,    6,   49.444731,  -97.841547,    18240.281
  27,    6,   49.446750,  -97.689291,    18239.865
  28,    6,   49.448659,  -97.537029,    18239.449
  29,    6,   49.450456,  -97.384760,    18239.049
  30,    6,   49.452142,  -97.232485,    18238.625
  31,    6,   49.453716,  -97.080204,    18238.232
  32,    6,   49.455180,  -96.927918,    18237.842
  33,    6,   49.456532,  -96.775628,    18237.480
  34,    6,   49.457773,  -96.623332,    18237.145
  35,    6,   49.458903,  -96.471033,    18236.824
  36,    6,   49.459921,  -96.318730,    18236.537
  37,    6,   49.460829,  -96.166424,    18236.289
  38,    6,   49.461625,  -96.014114,    18236.049
  39,    6,   49.462310,  -95.861802,    18235.850
  40,    6,   49.462883,  -95.709488,    18235.674
  41,    6,   49.463346,  -95.557173,    18235.480
  42,    6,   49.463697,  -95.404855,    18235.328
  43,    6,   49.463937,  -95.252537,    18235.186
  44,    6,   49.464066,  -95.100218,    18235.057
   1,    7,   49.457033, -101.652079,    18253.656
   2,    7,   49.461833, -101.499947,    18253.521
   3,    7,   49.466522, -101.347799,    18252.904
   4,    7,   49.471100, -101.195634,    18252.018
   5,    7,   49.475567, -101.043454,    18250.953
   6,    7,   49.479922, -100.891259,    18249.904
   7,    7,   49.484166, -100.739049,    18248.945
   8,    7,   49.488300, -100.586824,    18248.217
   9,    7,   49.492321, -100.434586,    18247.850
  10,    7,   49.496232, -100.282333,    18247.793
  11,    7,   49.500032, -100.130068,    18247.850
  12,    7,   49.503720,  -99.977789,    18246.896
  13,    7,   49.507297,  -99.825498,    18246.129
  14,    7,   49.510763,  -99.673194,    18246.113
  15,    7,   49.514117,  -99.520879,    18246.393
  16,    7,   49.517361,  -99.368552,    18245.850
  17,    7,   49.520493,  -99.216215,    18245.240
  18,    7,   49.523514,  -99.063866,    18244.584
  19,    7,   49.526424,  -98.911508,    18243.873
  20,    7,   49.529222,  -98.759139,    18243.240
  21,    7,   49.531910,  -98.606761,    18242.664
  22,    7,   49.534486,  -98.454374,    18242.105
  23,    7,   49.536951,  -98.301978,    18241.561
  24,    7,   49.539304,  -98.149574,    18241.201
  25,    7,   49.541547,  -97.997162,    18240.816
  26,    7,   49.543678,  -97.844742,    18240.408
  27,    7,   49.545698,  -97.692315,    18239.992
  28,    7,   49.547607,  -97.539882,    18239.576
  29,    7,   49.549404,  -97.387442,    18239.168
  30,    7,   49.551091,  -97.234995,    18238.777
  31,    7,   49.552666,  -97.082544,    18238.385
  32,    7,   49.554129,  -96.930086,    18238.000
  33,    7,   49.555482,  -96.777625,    18237.633
  34,    7,   49.556723,  -96.625158,    18237.313
  35,    7,   49.557853,  -96.472687,    18236.992
  36,    7,   49.558872,  -96.320213,    18236.736
  37,    7,   49.559780,  -96.167735,    18236.584
  38,    7,   49.560576,  -96.015255,    18236.186
  39,    7,   49.561261,  -95.862772,    18235.992
  40,    7,   49.561835,  -95.710286,    18235.793
  41,    7,   49.562297,  -95.557799,    18235.609
  42,    7,   49.562649,  -95.405311,    18235.465
  43,    7,   49.562889,  -95.252821,    18235.313
  44,    7,   49.563018,  -95.100331,    18235.201
   1,    8,   49.555872, -101.659558,    18254.201
   2,    8,   49.560673, -101.507255,    18255.025
   3,    8,   49.565363, -101.354936,    18255.305
   4,    8,   49.569942, -101.202601,    18254.561
   5,    8,   49.574410, -101.050251,    18252.633
   6,    8,   49.578766, -100.897885,    18251.209
   7,    8,   49.583011, -100.745504,    18250.088
   8,    8,   49.587145, -100.593108,    18249.168
   9,    8,   49.591168, -100.440699,    18248.361
  10,    8,   49.595080, -100.288275,    18247.617
  11,    8,   49.598880, -100.135839,    18247.426
  12,    8,   49.602569,  -99.983389,    18247.369
  13,    8,   49.606147,  -99.830927,    18247.576
  14,    8,   49.609613,  -99.678452,    18248.018
  15,    8,   49.612969,  -99.525966,    18247.992
  16,    8,   49.616213,  -99.373468,    18246.832
  17,    8,   49.619346,  -99.220959,    18245.529
  18,    8,   49.622368,  -99.068440,    18244.408
  19,    8,   49.625278,  -98.915910,    18243.537
  20,    8,   49.628077,  -98.763370,    18243.088
  21,    8,   49.630765,  -98.610821,    18242.648
  22,    8,   49.633342,  -98.458262,    18242.193
  23,    8,   49.635807,  -98.305695,    18241.721
  24,    8,   49.638162,  -98.153119,    18241.346
  25,    8,   49.640405,  -98.000536,    18240.953
  26,    8,   49.642536,  -97.847945,    18240.537
  27,    8,   49.644557,  -97.695346,    18240.129
  28,    8,   49.646466,  -97.542741,    18239.736
  29,    8,   49.648264,  -97.390129,    18239.328
  30,    8,   49.649950,  -97.237512,    18238.930
  31,    8,   49.651526,  -97.084888,    18238.545
  32,    8,   49.652990,  -96.932260,    18238.168
  33,    8,   49.654343,  -96.779626,    18237.801
  34,    8,   49.655584,  -96.626988,    18237.465
  35,    8,   49.656714,  -96.474346,    18237.145
  36,    8,   49.657733,  -96.321700,    18236.865
  37,    8,   49.658641,  -96.169050,    18236.576
  38,    8,   49.659438,  -96.016398,    18236.354
  39,    8,   49.660123,  -95.863743,    18236.137
  40,    8,   49.660697,  -95.711086,    18235.945
  41,    8,   49.661160,  -95.558427,    18235.777
  42,    8,   49.661511,  -95.405767,    18235.609
  43,    8,   49.661751,  -95.253106,    18235.473
  44,    8,   49.661880,  -95.100444,    18235.336
   1,    9,   49.654622, -101.667053,    18254.816
   2,    9,   49.659424, -101.514580,    18256.633
   3,    9,   49.664115, -101.362090,    18258.178
   4,    9,   49.668695, -101.209584,    18258.441
   5,    9,   49.673163, -101.057062,    18256.449
   6,    9,   49.677521, -100.904525,    18254.258
   7,    9,   49.681767, -100.751973,    18252.521
   8,    9,   49.685902, -100.599406,    18251.018
   9,    9,   49.689925, -100.446826,    18249.625
  10,    9,   49.693838, -100.294231,    18249.041
  11,    9,   49.697639, -100.141623,    18249.480
  12,    9,   49.701329,  -99.989002,    18250.186
  13,    9,   49.704908,  -99.836368,    18250.609
  14,    9,   49.708375,  -99.683722,    18250.248
