   X,    Y,    Latitude,   Longitude, HGT_201906170000
   2,    4,   49.164782, -101.478121,      576.897
   3,    4,   49.169468, -101.326482,      560.397
   4,    4,   49.174043, -101.174827,      551.022
   5,    4,   49.178506, -101.023157,      548.647
   6,    4,   49.182859, -100.871472,      536.647
   7,    4,   49.187100, -100.719771,      486.772
   8,    4,   49.191230, -100.568057,      421.397
   9,    4,   49.195249, -100.416329,      372.272
  10,    4,   49.199157, -100.264587,      346.272
  11,    4,   49.202954, -100.112832,      356.147
  12,    4,   49.206640,  -99.961064,      406.272
  13,    4,   49.210215,  -99.809283,      453.147
  14,    4,   49.213678,  -99.657491,      464.147
  15,    4,   49.217030,  -99.505687,      448.397
  16,    4,   49.220272,  -99.353871,      426.522
  17,    4,   49.223402,  -99.202045,      388.772
  18,    4,   49.226421,  -99.050208,      383.022
  19,    4,   49.229328,  -98.898361,      378.022
  20,    4,   49.232125,  -98.746504,      367.522
  21,    4,   49.234810,  -98.594637,      397.647
  22,    4,   49.237385,  -98.442762,      414.022
  23,    4,   49.239848,  -98.290878,      412.147
  24,    4,   49.242200,  -98.138986,      377.147
  25,    4,   49.244441,  -97.987086,      292.397
  26,    4,   49.246571,  -97.835178,      245.647
  27,    4,   49.248589,  -97.683264,      225.397
  28,    4,   49.250497,  -97.531342,      224.272
  29,    4,   49.252293,  -97.379414,      241.772
  30,    4,   49.253978,  -97.227480,      265.397
  31,    4,   49.255552,  -97.075541,      315.397
  32,    4,   49.257015,  -96.923596,      318.522
  33,    4,   49.258366,  -96.771647,      303.022
  34,    4,   49.259607,  -96.619693,      305.022
  35,    4,   49.260736,  -96.467735,      353.772
  36,    4,   49.261754,  -96.315774,      486.022
  37,    4,   49.262661,  -96.163809,      550.647
  38,    4,   49.263457,  -96.011841,      557.647
  39,    4,   49.264142,  -95.859870,      592.772
  40,    4,   49.264715,  -95.707898,      586.397
  41,    4,   49.265177,  -95.555923,      618.147
  42,    4,   49.265528,  -95.403948,      710.647
  43,    4,   49.265768,  -95.251971,      815.397
  44,    4,   49.265897,  -95.099993,      680.272
   1,    5,   49.259090, -101.637172,      614.522
   2,    5,   49.263888, -101.485380,      578.147
   3,    5,   49.268575, -101.333572,      554.022
   4,    5,   49.273150, -101.181747,      564.647
   5,    5,   49.277615, -101.029908,      572.772
   6,    5,   49.281968, -100.878053,      504.522
   7,    5,   49.286211, -100.726183,      442.022
   8,    5,   49.290342, -100.574299,      379.272
   9,    5,   49.294362, -100.422401,      342.272
  10,    5,   49.298271, -100.270489,      337.397
  11,    5,   49.302068, -100.118564,      356.272
  12,    5,   49.305755,  -99.966626,      424.772
  13,    5,   49.309330,  -99.814676,      436.272
  14,    5,   49.312795,  -99.662713,      408.522
  15,    5,   49.316148,  -99.510739,      365.772
  16,    5,   49.319390,  -99.358754,      353.147
  17,    5,   49.322521,  -99.206757,      366.522
  18,    5,   49.325540,  -99.054750,      396.772
  19,    5,   49.328449,  -98.902733,      410.022
  20,    5,   49.331246,  -98.750706,      377.397
  21,    5,   49.333932,  -98.598670,      401.897
  22,    5,   49.336507,  -98.446624,      426.022
  23,    5,   49.338971,  -98.294570,      434.897
  24,    5,   49.341323,  -98.142507,      408.897
  25,    5,   49.343565,  -97.990437,      349.522
  26,    5,   49.345695,  -97.838359,      204.772
  27,    5,   49.347714,  -97.686274,      142.522
  28,    5,   49.349622,  -97.534182,      156.272
  29,    5,   49.351419,  -97.382084,      199.772
