   X,    Y,    Latitude,   Longitude, HGT_201906111700
  41,    3,   49.165960,  -95.555301,    20866.621
  42,    3,   49.166311,  -95.403495,    20866.725
  43,    3,   49.166551,  -95.251689,    20866.076
  44,    3,   49.166680,  -95.099881,    20865.221
   1,    4,   49.159986, -101.629744,    20874.502
   2,    4,   49.164782, -101.478121,    20874.518
   3,    4,   49.169468, -101.326482,    20874.381
   4,    4,   49.174043, -101.174827,    20874.102
   5,    4,   49.178506, -101.023157,    20873.781
   6,    4,   49.182859, -100.871472,    20873.461
   7,    4,   49.187100, -100.719771,    20873.174
   8,    4,   49.191230, -100.568057,    20872.926
   9,    4,   49.195249, -100.416329,    20872.709
  10,    4,   49.199157, -100.264587,    20872.645
  11,    4,   49.202954, -100.112832,    20872.828
  12,    4,   49.206640,  -99.961064,    20872.861
  13,    4,   49.210215,  -99.809283,    20872.660
  14,    4,   49.213678,  -99.657491,    20872.701
  15,    4,   49.217030,  -99.505687,    20872.980
  16,    4,   49.220272,  -99.353871,    20873.037
  17,    4,   49.223402,  -99.202045,    20872.613
  18,    4,   49.226421,  -99.050208,    20872.525
  19,    4,   49.229328,  -98.898361,    20872.652
  20,    4,   49.232125,  -98.746504,    20872.828
  21,    4,   49.234810,  -98.594637,    20873.229
  22,    4,   49.237385,  -98.442762,    20872.709
  23,    4,   49.239848,  -98.290878,    20872.094
  24,    4,   49.242200,  -98.138986,    20871.660
  25,    4,   49.244441,  -97.987086,    20871.453
  26,    4,   49.246571,  -97.835178,    20871.125
  27,    4,   49.248589,  -97.683264,    20870.965
  28,    4,   49.250497,  -97.531342,    20871.133
  29,    4,   49.252293,  -97.379414,    20871.213
  30,    4,   49.253978,  -97.227480,    20870.701
  31,    4,   49.255552,  -97.075541,    20869.766
  32,    4,   49.257015,  -96.923596,    20869.148
  33,    4,   49.258366,  -96.771647,    20868.709
  34,    4,   49.259607,  -96.619693,    20868.332
  35,    4,   49.260736,  -96.467735,    20867.949
  36,    4,   49.261754,  -96.315774,    20867.652
  37,    4,   49.262661,  -96.163809,    20867.324
  38,    4,   49.263457,  -96.011841,    20866.980
  39,    4,   49.264142,  -95.859870,    20866.678
  40,    4,   49.264715,  -95.707898,    20866.412
  41,    4,   49.265177,  -95.555923,    20866.342
  42,    4,   49.265528,  -95.403948,    20866.125
  43,    4,   49.265768,  -95.251971,    20865.957
  44,    4,   49.265897,  -95.099993,    20865.629
   1,    5,   49.259090, -101.637172,    20875.213
   2,    5,   49.263888, -101.485380,    20875.117
   3,    5,   49.268575, -101.333572,    20874.916
