   X,    Y,    Latitude,   Longitude, HPBL_201906300000
  44,    3,   49.166680,  -95.099881,      122.080
   1,    4,   49.159986, -101.629744,     1969.760
   2,    4,   49.164782, -101.478121,     1975.680
   3,    4,   49.169468, -101.326482,     1557.440
   4,    4,   49.174043, -101.174827,     1235.520
   5,    4,   49.178506, -101.023157,     1235.520
   6,    4,   49.182859, -100.871472,     1234.560
   7,    4,   49.187100, -100.719771,      987.840
   8,    4,   49.191230, -100.568057,      803.040
   9,    4,   49.195249, -100.416329,      662.240
  10,    4,   49.199157, -100.264587,      662.240
  11,    4,   49.202954, -100.112832,      435.680
  12,    4,   49.206640,  -99.961064,      292.000
  13,    4,   49.210215,  -99.809283,      338.080
  14,    4,   49.213678,  -99.657491,      338.080
  15,    4,   49.217030,  -99.505687,      248.800
  16,    4,   49.220272,  -99.353871,      294.240
  17,    4,   49.223402,  -99.202045,      294.720
  18,    4,   49.226421,  -99.050208,      250.240
  19,    4,   49.229328,  -98.898361,      250.240
  20,    4,   49.232125,  -98.746504,      206.880
  21,    4,   49.234810,  -98.594637,      164.000
  22,    4,   49.237385,  -98.442762,      164.640
  23,    4,   49.239848,  -98.290878,      299.680
  24,    4,   49.242200,  -98.138986,      348.800
  25,    4,   49.244441,  -97.987086,      506.240
  26,    4,   49.246571,  -97.835178,      305.600
  27,    4,   49.248589,  -97.683264,      917.440
  28,    4,   49.250497,  -97.531342,      917.440
  29,    4,   49.252293,  -97.379414,     1271.520
  30,    4,   49.253978,  -97.227480,      917.280
  31,    4,   49.255552,  -97.075541,      915.200
  32,    4,   49.257015,  -96.923596,     1129.440
  33,    4,   49.258366,  -96.771647,     1129.440
  34,    4,   49.259607,  -96.619693,     1127.360
  35,    4,   49.260736,  -96.467735,     1009.920
  36,    4,   49.261754,  -96.315774,     1256.960
  37,    4,   49.262661,  -96.163809,     1256.960
  38,    4,   49.263457,  -96.011841,     1254.560
  39,    4,   49.264142,  -95.859870,     1119.360
  40,    4,   49.264715,  -95.707898,      903.680
  41,    4,   49.265177,  -95.555923,      819.520
  42,    4,   49.265528,  -95.403948,      819.520
  43,    4,   49.265768,  -95.251971,      501.120
  44,    4,   49.265897,  -95.099993,      254.720
   1,    5,   49.259090, -101.637172,     2217.920
   2,    5,   49.263888, -101.485380,     2225.280
   3,    5,   49.268575, -101.333572,     1754.560
   4,    5,   49.273150, -101.181747,     1235.360
   5,    5,   49.277615, -101.029908,     1235.360
   6,    5,   49.281968, -100.878053,     1234.560
   7,    5,   49.286211, -100.726183,     1232.960
   8,    5,   49.290342, -100.574299,      887.840
   9,    5,   49.294362, -100.422401,      887.840
  10,    5,   49.298271, -100.270489,      731.040
  11,    5,   49.302068, -100.118564,      388.800
  12,    5,   49.305755,  -99.966626,      249.120
  13,    5,   49.309330,  -99.814676,      248.480
  14,    5,   49.312795,  -99.662713,      248.480
  15,    5,   49.316148,  -99.510739,      248.800
  16,    5,   49.319390,  -99.358754,      249.600
  17,    5,   49.322521,  -99.206757,      294.720
  18,    5,   49.325540,  -99.054750,      294.720
  19,    5,   49.328449,  -98.902733,      205.920
  20,    5,   49.331246,  -98.750706,      295.680
  21,    5,   49.333932,  -98.598670,      343.040
  22,    5,   49.336507,  -98.446624,      208.800
  23,    5,   49.338971,  -98.294570,      208.800
  24,    5,   49.341323,  -98.142507,      348.800
  25,    5,   49.343565,  -97.990437,      624.000
  26,    5,   49.345695,  -97.838359,      455.680
  27,    5,   49.347714,  -97.686274,      404.960
  28,    5,   49.349622,  -97.534182,      404.960
  29,    5,   49.351419,  -97.382084,      833.600
  30,    5,   49.353104,  -97.229980,     1425.600
  31,    5,   49.354678,  -97.077870,     1267.360
  32,    5,   49.356142,  -96.925755,     1267.680
  33,    5,   49.357493,  -96.773635,     1265.440
  34,    5,   49.358734,  -96.621511,     1127.680
