   X,    Y,    Latitude,   Longitude, UGRD_201906300000
  44,    3,   49.166680,  -95.099881,       -2.698
   1,    4,   49.159986, -101.629744,        2.032
   2,    4,   49.164782, -101.478121,        1.542
   3,    4,   49.169468, -101.326482,        1.112
   4,    4,   49.174043, -101.174827,        0.792
   5,    4,   49.178506, -101.023157,        0.552
   6,    4,   49.182859, -100.871472,        0.342
   7,    4,   49.187100, -100.719771,        0.112
   8,    4,   49.191230, -100.568057,       -0.098
   9,    4,   49.195249, -100.416329,       -0.198
  10,    4,   49.199157, -100.264587,       -0.148
  11,    4,   49.202954, -100.112832,        0.082
  12,    4,   49.206640,  -99.961064,        0.382
  13,    4,   49.210215,  -99.809283,        0.542
  14,    4,   49.213678,  -99.657491,        0.632
  15,    4,   49.217030,  -99.505687,        0.742
  16,    4,   49.220272,  -99.353871,        0.892
  17,    4,   49.223402,  -99.202045,        1.172
  18,    4,   49.226421,  -99.050208,        1.512
  19,    4,   49.229328,  -98.898361,        1.822
  20,    4,   49.232125,  -98.746504,        1.982
  21,    4,   49.234810,  -98.594637,        1.762
  22,    4,   49.237385,  -98.442762,        1.362
  23,    4,   49.239848,  -98.290878,        1.062
  24,    4,   49.242200,  -98.138986,        0.792
  25,    4,   49.244441,  -97.987086,        0.472
  26,    4,   49.246571,  -97.835178,        0.102
  27,    4,   49.248589,  -97.683264,       -0.338
  28,    4,   49.250497,  -97.531342,       -0.718
  29,    4,   49.252293,  -97.379414,       -0.988
  30,    4,   49.253978,  -97.227480,       -1.118
  31,    4,   49.255552,  -97.075541,       -1.248
  32,    4,   49.257015,  -96.923596,       -1.538
  33,    4,   49.258366,  -96.771647,       -1.958
  34,    4,   49.259607,  -96.619693,       -2.408
  35,    4,   49.260736,  -96.467735,       -2.688
  36,    4,   49.261754,  -96.315774,       -2.738
  37,    4,   49.262661,  -96.163809,       -2.738
  38,    4,   49.263457,  -96.011841,       -2.758
  39,    4,   49.264142,  -95.859870,       -2.838
  40,    4,   49.264715,  -95.707898,       -2.878
  41,    4,   49.265177,  -95.555923,       -2.858
  42,    4,   49.265528,  -95.403948,       -2.788
  43,    4,   49.265768,  -95.251971,       -2.638
  44,    4,   49.265897,  -95.099993,       -2.388
   1,    5,   49.259090, -101.637172,        2.042
   2,    5,   49.263888, -101.485380,        1.642
   3,    5,   49.268575, -101.333572,        1.292
   4,    5,   49.273150, -101.181747,        1.002
   5,    5,   49.277615, -101.029908,        0.772
   6,    5,   49.281968, -100.878053,        0.572
   7,    5,   49.286211, -100.726183,        0.362
   8,    5,   49.290342, -100.574299,        0.142
   9,    5,   49.294362, -100.422401,       -0.018
  10,    5,   49.298271, -100.270489,       -0.048
  11,    5,   49.302068, -100.118564,        0.102
  12,    5,   49.305755,  -99.966626,        0.382
  13,    5,   49.309330,  -99.814676,        0.572
  14,    5,   49.312795,  -99.662713,        0.712
  15,    5,   49.316148,  -99.510739,        0.822
  16,    5,   49.319390,  -99.358754,        0.942
  17,    5,   49.322521,  -99.206757,        1.112
  18,    5,   49.325540,  -99.054750,        1.352
  19,    5,   49.328449,  -98.902733,        1.602
  20,    5,   49.331246,  -98.750706,        1.792
  21,    5,   49.333932,  -98.598670,        1.652
  22,    5,   49.336507,  -98.446624,        1.452
  23,    5,   49.338971,  -98.294570,        1.212
  24,    5,   49.341323,  -98.142507,        0.862
  25,    5,   49.343565,  -97.990437,        0.402
