   X,    Y,    Latitude,   Longitude, VRATE_201906240000
  41,    3,   49.165960,  -95.555301,     8400.000
  42,    3,   49.166311,  -95.403495,     8400.000
  43,    3,   49.166551,  -95.251689,     8300.000
  44,    3,   49.166680,  -95.099881,      100.000
   1,    4,   49.159986, -101.629744,     9300.000
   2,    4,   49.164782, -101.478121,     9200.000
   3,    4,   49.169468, -101.326482,     8900.000
   4,    4,   49.174043, -101.174827,     9000.000
   5,    4,   49.178506, -101.023157,     9000.000
   6,    4,   49.182859, -100.871472,     9100.000
   7,    4,   49.187100, -100.719771,     8400.000
   8,    4,   49.191230, -100.568057,     7800.000
   9,    4,   49.195249, -100.416329,     7600.000
  10,    4,   49.199157, -100.264587,     7600.000
  11,    4,   49.202954, -100.112832,     7200.000
  12,    4,   49.206640,  -99.961064,     7200.000
  13,    4,   49.210215,  -99.809283,     7200.000
  14,    4,   49.213678,  -99.657491,     7200.000
  15,    4,   49.217030,  -99.505687,     6800.000
  16,    4,   49.220272,  -99.353871,     6700.000
  17,    4,   49.223402,  -99.202045,     6800.000
  18,    4,   49.226421,  -99.050208,     6900.000
  19,    4,   49.229328,  -98.898361,     6900.000
  20,    4,   49.232125,  -98.746504,     6600.000
  21,    4,   49.234810,  -98.594637,     6300.000
  22,    4,   49.237385,  -98.442762,     6300.000
  23,    4,   49.239848,  -98.290878,     6400.000
  24,    4,   49.242200,  -98.138986,     6500.000
  25,    4,   49.244441,  -97.987086,     6200.000
  26,    4,   49.246571,  -97.835178,     6000.000
  27,    4,   49.248589,  -97.683264,     6000.000
  28,    4,   49.250497,  -97.531342,     6000.000
  29,    4,   49.252293,  -97.379414,     4200.000
  30,    4,   49.253978,  -97.227480,     2800.000
  31,    4,   49.255552,  -97.075541,     6300.000
  32,    4,   49.257015,  -96.923596,     6800.000
  33,    4,   49.258366,  -96.771647,     6800.000
  34,    4,   49.259607,  -96.619693,     7400.000
  35,    4,   49.260736,  -96.467735,     8200.000
  36,    4,   49.261754,  -96.315774,     8400.000
  37,    4,   49.262661,  -96.163809,     8400.000
  38,    4,   49.263457,  -96.011841,     8300.000
  39,    4,   49.264142,  -95.859870,     8300.000
  40,    4,   49.264715,  -95.707898,     8300.000
  41,    4,   49.265177,  -95.555923,     8400.000
  42,    4,   49.265528,  -95.403948,     8400.000
  43,    4,   49.265768,  -95.251971,     8600.000
  44,    4,   49.265897,  -95.099993,     7800.000
   1,    5,   49.259090, -101.637172,     9800.000
   2,    5,   49.263888, -101.485380,     9600.000
   3,    5,   49.268575, -101.333572,     9200.000
   4,    5,   49.273150, -101.181747,     9500.000
   5,    5,   49.277615, -101.029908,     9500.000
   6,    5,   49.281968, -100.878053,     9100.000
   7,    5,   49.286211, -100.726183,     8600.000
   8,    5,   49.290342, -100.574299,     8000.000
   9,    5,   49.294362, -100.422401,     8000.000
  10,    5,   49.298271, -100.270489,     7900.000
  11,    5,   49.302068, -100.118564,     7600.000
  12,    5,   49.305755,  -99.966626,     7200.000
  13,    5,   49.309330,  -99.814676,     7100.000
  14,    5,   49.312795,  -99.662713,     7100.000
  15,    5,   49.316148,  -99.510739,     6800.000
  16,    5,   49.319390,  -99.358754,     6900.000
  17,    5,   49.322521,  -99.206757,     6800.000
  18,    5,   49.325540,  -99.054750,     6800.000
  19,    5,   49.328449,  -98.902733,     6800.000
  20,    5,   49.331246,  -98.750706,     6800.000
  21,    5,   49.333932,  -98.598670,     6500.000
  22,    5,   49.336507,  -98.446624,     6400.000
  23,    5,   49.338971,  -98.294570,     6400.000
  24,    5,   49.341323,  -98.142507,     6500.000
  25,    5,   49.343565,  -97.990437,     6300.000
  26,    5,   49.345695,  -97.838359,     6100.000
  27,    5,   49.347714,  -97.686274,     5800.000
  28,    5,   49.349622,  -97.534182,     5800.000
  29,    5,   49.351419,  -97.382084,     6900.000
  30,    5,   49.353104,  -97.229980,     7200.000
  31,    5,   49.354678,  -97.077870,     7000.000
  32,    5,   49.356142,  -96.925755,     7600.000
  33,    5,   49.357493,  -96.773635,     7100.000
  34,    5,   49.358734,  -96.621511,     7700.000
  35,    5,   49.359864,  -96.469382,     8300.000
  36,    5,   49.360882,  -96.317250,     8300.000
  37,    5,   49.361789,  -96.165115,     8300.000
  38,    5,   49.362585,  -96.012976,     8300.000
  39,    5,   49.363270,  -95.860835,     8300.000
  40,    5,   49.363843,  -95.708692,     9000.000
  41,    5,   49.364306,  -95.556547,     9000.000
  42,    5,   49.364657,  -95.404401,     9000.000
  43,    5,   49.364897,  -95.252254,     9300.000
  44,    5,   49.365026,  -95.100106,     8600.000
   1,    6,   49.358106, -101.644617,    10100.000
   2,    6,   49.362905, -101.492655,     9600.000
   3,    6,   49.367593, -101.340677,     9500.000
   4,    6,   49.372169, -101.188683,     9500.000
   5,    6,   49.376635, -101.036673,     9700.000
   6,    6,   49.380990, -100.884648,     9200.000
   7,    6,   49.385233, -100.732609,     8600.000
   8,    6,   49.389365, -100.580555,     8300.000
   9,    6,   49.393386, -100.428486,     8300.000
  10,    6,   49.397296, -100.276405,     8000.000
  11,    6,   49.401094, -100.124309,     7900.000
  12,    6,   49.404782,  -99.972201,     7700.000
  13,    6,   49.408358,  -99.820081,     7700.000
  14,    6,   49.411823,  -99.667948,     7500.000
  15,    6,   49.415177,  -99.515803,     7000.000
  16,    6,   49.418420,  -99.363648,     6900.000
  17,    6,   49.421551,  -99.211481,     6700.000
  18,    6,   49.424571,  -99.059303,     6700.000
  19,    6,   49.427481,  -98.907116,     6700.000
  20,    6,   49.430279,  -98.754918,     6800.000
  21,    6,   49.432965,  -98.602711,     6600.000
  22,    6,   49.435541,  -98.450495,     6700.000
  23,    6,   49.438005,  -98.298270,     6700.000
  24,    6,   49.440358,  -98.146037,     6500.000
  25,    6,   49.442600,  -97.993796,     6200.000
  26,    6,   49.444731,  -97.841547,     6100.000
  27,    6,   49.446750,  -97.689291,     6100.000
  28,    6,   49.448659,  -97.537029,     6000.000
  29,    6,   49.450456,  -97.384760,     6900.000
  30,    6,   49.452142,  -97.232485,     7200.000
  31,    6,   49.453716,  -97.080204,     7600.000
  32,    6,   49.455180,  -96.927918,     7600.000
  33,    6,   49.456532,  -96.775628,     7600.000
  34,    6,   49.457773,  -96.623332,     7800.000
  35,    6,   49.458903,  -96.471033,     8200.000
  36,    6,   49.459921,  -96.318730,     8200.000
  37,    6,   49.460829,  -96.166424,     8200.000
  38,    6,   49.461625,  -96.014114,     8500.000
  39,    6,   49.462310,  -95.861802,     9000.000
  40,    6,   49.462883,  -95.709488,     9000.000
  41,    6,   49.463346,  -95.557173,     9000.000
  42,    6,   49.463697,  -95.404855,     9000.000
  43,    6,   49.463937,  -95.252537,     8900.000
  44,    6,   49.464066,  -95.100218,     7700.000
   1,    7,   49.457033, -101.652079,    10600.000
   2,    7,   49.461833, -101.499947,    10300.000
   3,    7,   49.466522, -101.347799,    10100.000
   4,    7,   49.471100, -101.195634,    10100.000
   5,    7,   49.475567, -101.043454,     9900.000
   6,    7,   49.479922, -100.891259,     9000.000
   7,    7,   49.484166, -100.739049,     8600.000
   8,    7,   49.488300, -100.586824,     8600.000
   9,    7,   49.492321, -100.434586,     8600.000
  10,    7,   49.496232, -100.282333,     8200.000
  11,    7,   49.500032, -100.130068,     8100.000
  12,    7,   49.503720,  -99.977789,     8100.000
  13,    7,   49.507297,  -99.825498,     8100.000
  14,    7,   49.510763,  -99.673194,     8100.000
  15,    7,   49.514117,  -99.520879,     7600.000
  16,    7,   49.517361,  -99.368552,     7100.000
  17,    7,   49.520493,  -99.216215,     6700.000
  18,    7,   49.523514,  -99.063866,     7000.000
  19,    7,   49.526424,  -98.911508,     6600.000
  20,    7,   49.529222,  -98.759139,     6700.000
  21,    7,   49.531910,  -98.606761,     6700.000
  22,    7,   49.534486,  -98.454374,     6700.000
  23,    7,   49.536951,  -98.301978,     6400.000
  24,    7,   49.539304,  -98.149574,     6500.000
  25,    7,   49.541547,  -97.997162,     6200.000
  26,    7,   49.543678,  -97.844742,     6000.000
  27,    7,   49.545698,  -97.692315,     6000.000
  28,    7,   49.547607,  -97.539882,     5900.000
  29,    7,   49.549404,  -97.387442,     6100.000
  30,    7,   49.551091,  -97.234995,     6800.000
  31,    7,   49.552666,  -97.082544,     6800.000
  32,    7,   49.554129,  -96.930086,     7600.000
  33,    7,   49.555482,  -96.777625,     7600.000
  34,    7,   49.556723,  -96.625158,     7800.000
  35,    7,   49.557853,  -96.472687,     8100.000
  36,    7,   49.558872,  -96.320213,     8100.000
  37,    7,   49.559780,  -96.167735,     8100.000
  38,    7,   49.560576,  -96.015255,     8200.000
  39,    7,   49.561261,  -95.862772,     8600.000
  40,    7,   49.561835,  -95.710286,     8600.000
  41,    7,   49.562297,  -95.557799,     8700.000
  42,    7,   49.562649,  -95.405311,     8900.000
  43,    7,   49.562889,  -95.252821,     8300.000
  44,    7,   49.563018,  -95.100331,      100.000
   1,    8,   49.555872, -101.659558,    10800.000
   2,    8,   49.560673, -101.507255,    10400.000
   3,    8,   49.565363, -101.354936,    10400.000
   4,    8,   49.569942, -101.202601,    10200.000
   5,    8,   49.574410, -101.050251,     9900.000
   6,    8,   49.578766, -100.897885,     9400.000
   7,    8,   49.583011, -100.745504,     8700.000
   8,    8,   49.587145, -100.593108,     8700.000
   9,    8,   49.591168, -100.440699,     8600.000
  10,    8,   49.595080, -100.288275,     8400.000
  11,    8,   49.598880, -100.135839,     8400.000
  12,    8,   49.602569,  -99.983389,     8400.000
  13,    8,   49.606147,  -99.830927,     8400.000
  14,    8,   49.609613,  -99.678452,     8300.000
  15,    8,   49.612969,  -99.525966,     8000.000
  16,    8,   49.616213,  -99.373468,     7400.000
  17,    8,   49.619346,  -99.220959,     7400.000
  18,    8,   49.622368,  -99.068440,     7600.000
  19,    8,   49.625278,  -98.915910,     7000.000
  20,    8,   49.628077,  -98.763370,     6900.000
  21,    8,   49.630765,  -98.610821,     6800.000
  22,    8,   49.633342,  -98.458262,     6800.000
  23,    8,   49.635807,  -98.305695,     6500.000
  24,    8,   49.638162,  -98.153119,     6400.000
  25,    8,   49.640405,  -98.000536,     6400.000
  26,    8,   49.642536,  -97.847945,     6400.000
  27,    8,   49.644557,  -97.695346,     6000.000
  28,    8,   49.646466,  -97.542741,     5900.000
  29,    8,   49.648264,  -97.390129,     5900.000
  30,    8,   49.649950,  -97.237512,     6400.000
  31,    8,   49.651526,  -97.084888,     6400.000
  32,    8,   49.652990,  -96.932260,     7100.000
  33,    8,   49.654343,  -96.779626,     7600.000
  34,    8,   49.655584,  -96.626988,     7800.000
  35,    8,   49.656714,  -96.474346,     7800.000
  36,    8,   49.657733,  -96.321700,     8000.000
  37,    8,   49.658641,  -96.169050,     8000.000
  38,    8,   49.659438,  -96.016398,     8100.000
  39,    8,   49.660123,  -95.863743,     8200.000
  40,    8,   49.660697,  -95.711086,     8200.000
  41,    8,   49.661160,  -95.558427,     8700.000
  42,    8,   49.661511,  -95.405767,     8500.000
  43,    8,   49.661751,  -95.253106,     8600.000
  44,    8,   49.661880,  -95.100444,     8600.000
   1,    9,   49.654622, -101.667053,    11000.000
   2,    9,   49.659424, -101.514580,    10800.000
   3,    9,   49.664115, -101.362090,    10800.000
   4,    9,   49.668695, -101.209584,    10400.000
   5,    9,   49.673163, -101.057062,    10000.000
   6,    9,   49.677521, -100.904525,     9300.000
   7,    9,   49.681767, -100.751973,     9000.000
   8,    9,   49.685902, -100.599406,     9000.000
   9,    9,   49.689925, -100.446826,     9000.000
  10,    9,   49.693838, -100.294231,     8600.000
  11,    9,   49.697639, -100.141623,     8600.000
  12,    9,   49.701329,  -99.989002,     8600.000
  13,    9,   49.704908,  -99.836368,     8600.000
  14,    9,   49.708375,  -99.683722,     8500.000
  15,    9,   49.711731,  -99.531064,     8300.000
  16,    9,   49.714976,  -99.378395,     7900.000
  17,    9,   49.718110,  -99.225715,     7900.000
  18,    9,   49.721132,  -99.073023,     7600.000
  19,    9,   49.724043,  -98.920322,     7600.000
  20,    9,   49.726843,  -98.767610,     7200.000
  21,    9,   49.729531,  -98.614889,     7200.000
