   X,    Y,    Latitude,   Longitude, VGRD_201906102200
  41,    3,   49.165960,  -95.555301,       -3.588
  42,    3,   49.166311,  -95.403495,       -3.650
  43,    3,   49.166551,  -95.251689,       -3.588
  44,    3,   49.166680,  -95.099881,       -3.463
   1,    4,   49.159986, -101.629744,       -0.400
   2,    4,   49.164782, -101.478121,       -0.213
   3,    4,   49.169468, -101.326482,        0.037
   4,    4,   49.174043, -101.174827,        0.037
   5,    4,   49.178506, -101.023157,        0.037
   6,    4,   49.182859, -100.871472,       -0.025
   7,    4,   49.187100, -100.719771,       -0.213
   8,    4,   49.191230, -100.568057,       -0.400
   9,    4,   49.195249, -100.416329,       -0.713
  10,    4,   49.199157, -100.264587,       -1.025
  11,    4,   49.202954, -100.112832,       -1.338
  12,    4,   49.206640,  -99.961064,       -1.713
  13,    4,   49.210215,  -99.809283,       -1.963
  14,    4,   49.213678,  -99.657491,       -2.338
  15,    4,   49.217030,  -99.505687,       -2.525
  16,    4,   49.220272,  -99.353871,       -2.275
  17,    4,   49.223402,  -99.202045,       -2.088
  18,    4,   49.226421,  -99.050208,       -2.088
  19,    4,   49.229328,  -98.898361,       -2.025
  20,    4,   49.232125,  -98.746504,       -1.963
  21,    4,   49.234810,  -98.594637,       -2.150
  22,    4,   49.237385,  -98.442762,       -1.900
  23,    4,   49.239848,  -98.290878,       -1.775
  24,    4,   49.242200,  -98.138986,       -1.775
  25,    4,   49.244441,  -97.987086,       -1.838
  26,    4,   49.246571,  -97.835178,       -1.900
  27,    4,   49.248589,  -97.683264,       -2.150
  28,    4,   49.250497,  -97.531342,       -2.400
  29,    4,   49.252293,  -97.379414,       -2.650
  30,    4,   49.253978,  -97.227480,       -2.838
  31,    4,   49.255552,  -97.075541,       -3.025
  32,    4,   49.257015,  -96.923596,       -3.150
  33,    4,   49.258366,  -96.771647,       -3.213
  34,    4,   49.259607,  -96.619693,       -3.338
  35,    4,   49.260736,  -96.467735,       -3.338
  36,    4,   49.261754,  -96.315774,       -3.463
  37,    4,   49.262661,  -96.163809,       -3.463
  38,    4,   49.263457,  -96.011841,       -3.463
  39,    4,   49.264142,  -95.859870,       -3.463
  40,    4,   49.264715,  -95.707898,       -3.588
  41,    4,   49.265177,  -95.555923,       -3.713
  42,    4,   49.265528,  -95.403948,       -3.838
  43,    4,   49.265768,  -95.251971,       -3.900
  44,    4,   49.265897,  -95.099993,       -3.900
   1,    5,   49.259090, -101.637172,       -0.213
   2,    5,   49.263888, -101.485380,       -0.025
   3,    5,   49.268575, -101.333572,        0.037
   4,    5,   49.273150, -101.181747,       -0.025
   5,    5,   49.277615, -101.029908,       -0.025
   6,    5,   49.281968, -100.878053,       -0.150
   7,    5,   49.286211, -100.726183,       -0.400
   8,    5,   49.290342, -100.574299,       -0.650
   9,    5,   49.294362, -100.422401,       -0.963
  10,    5,   49.298271, -100.270489,       -1.338
  11,    5,   49.302068, -100.118564,       -1.713
  12,    5,   49.305755,  -99.966626,       -2.088
  13,    5,   49.309330,  -99.814676,       -2.338
  14,    5,   49.312795,  -99.662713,       -2.525
  15,    5,   49.316148,  -99.510739,       -2.525
