   X,    Y,    Latitude,   Longitude, VRATE_201907111800
   1,    1,   48.862147, -101.607558,     6400.000
   2,    1,   48.866940, -101.456441,     6400.000
   3,    1,   48.871623, -101.305308,     6800.000
   4,    1,   48.876194, -101.154159,     7600.000
   5,    1,   48.880654, -101.002995,     7900.000
   6,    1,   48.885004, -100.851816,     7900.000
   7,    1,   48.889242, -100.700623,     8100.000
   8,    1,   48.893369, -100.549415,     8400.000
   9,    1,   48.897386, -100.398194,     8600.000
  10,    1,   48.901291, -100.246959,     9200.000
  11,    1,   48.905085, -100.095711,     9200.000
  12,    1,   48.908768,  -99.944450,     9600.000
  13,    1,   48.912340,  -99.793177,     9800.000
  14,    1,   48.915801,  -99.641892,     9800.000
  15,    1,   48.919151,  -99.490596,     9700.000
  16,    1,   48.922390,  -99.339288,     9700.000
  17,    1,   48.925518,  -99.187970,     9500.000
  18,    1,   48.928535,  -99.036641,     9400.000
  19,    1,   48.931440,  -98.885302,     9400.000
  20,    1,   48.934235,  -98.733953,     9400.000
  21,    1,   48.936919,  -98.582595,     9500.000
  22,    1,   48.939491,  -98.431228,     9700.000
  23,    1,   48.941953,  -98.279852,     9700.000
  24,    1,   48.944303,  -98.128469,     9700.000
  25,    1,   48.946542,  -97.977077,     9700.000
  26,    1,   48.948670,  -97.825678,     9700.000
  27,    1,   48.950688,  -97.674272,    10000.000
  28,    1,   48.952594,  -97.522860,    10000.000
  29,    1,   48.954389,  -97.371441,     9800.000
  30,    1,   48.956073,  -97.220016,    10100.000
  31,    1,   48.957645,  -97.068586,     9700.000
  32,    1,   48.959107,  -96.917150,     8800.000
  33,    1,   48.960458,  -96.765710,     7600.000
  34,    1,   48.961697,  -96.614265,     7600.000
  35,    1,   48.962826,  -96.462816,     6400.000
  36,    1,   48.963843,  -96.311364,     5100.000
  37,    1,   48.964749,  -96.159908,     4300.000
  38,    1,   48.965545,  -96.008449,     3600.000
  39,    1,   48.966229,  -95.856988,     3600.000
  40,    1,   48.966802,  -95.705525,     3700.000
  41,    1,   48.967264,  -95.554060,     2700.000
  42,    1,   48.967615,  -95.402594,     2000.000
  43,    1,   48.967854,  -95.251126,     2000.000
  44,    1,   48.967983,  -95.099658,        0.000
   1,    2,   48.961514, -101.614937,     6600.000
   2,    2,   48.966308, -101.463652,     6700.000
   3,    2,   48.970992, -101.312350,     6900.000
   4,    2,   48.975564, -101.161033,     7600.000
   5,    2,   48.980026, -101.009701,     8000.000
   6,    2,   48.984376, -100.858354,     8000.000
   7,    2,   48.988615, -100.706992,     8200.000
