   X,    Y,    Latitude,   Longitude, UGRD_201908060000
   2,    4,   49.164782, -101.478121,        5.320
   3,    4,   49.169468, -101.326482,        5.195
   4,    4,   49.174043, -101.174827,        5.133
   5,    4,   49.178506, -101.023157,        5.070
   6,    4,   49.182859, -100.871472,        5.070
   7,    4,   49.187100, -100.719771,        5.133
   8,    4,   49.191230, -100.568057,        5.258
   9,    4,   49.195249, -100.416329,        5.383
  10,    4,   49.199157, -100.264587,        5.570
  11,    4,   49.202954, -100.112832,        5.695
  12,    4,   49.206640,  -99.961064,        5.383
  13,    4,   49.210215,  -99.809283,        5.320
  14,    4,   49.213678,  -99.657491,        5.320
  15,    4,   49.217030,  -99.505687,        5.320
  16,    4,   49.220272,  -99.353871,        5.383
  17,    4,   49.223402,  -99.202045,        5.195
  18,    4,   49.226421,  -99.050208,        5.070
  19,    4,   49.229328,  -98.898361,        5.008
  20,    4,   49.232125,  -98.746504,        4.758
  21,    4,   49.234810,  -98.594637,        4.070
  22,    4,   49.237385,  -98.442762,        3.508
  23,    4,   49.239848,  -98.290878,        3.133
  24,    4,   49.242200,  -98.138986,        3.070
  25,    4,   49.244441,  -97.987086,        3.133
  26,    4,   49.246571,  -97.835178,        3.133
  27,    4,   49.248589,  -97.683264,        3.258
  28,    4,   49.250497,  -97.531342,        3.570
  29,    4,   49.252293,  -97.379414,        3.945
  30,    4,   49.253978,  -97.227480,        4.258
  31,    4,   49.255552,  -97.075541,        4.883
  32,    4,   49.257015,  -96.923596,        5.508
  33,    4,   49.258366,  -96.771647,        6.008
  34,    4,   49.259607,  -96.619693,        6.383
  35,    4,   49.260736,  -96.467735,        6.570
  36,    4,   49.261754,  -96.315774,        6.445
  37,    4,   49.262661,  -96.163809,        6.383
  38,    4,   49.263457,  -96.011841,        6.320
  39,    4,   49.264142,  -95.859870,        6.258
  40,    4,   49.264715,  -95.707898,        6.445
  41,    4,   49.265177,  -95.555923,        6.695
  42,    4,   49.265528,  -95.403948,        6.820
  43,    4,   49.265768,  -95.251971,        6.883
  44,    4,   49.265897,  -95.099993,        6.445
   1,    5,   49.259090, -101.637172,        5.195
   2,    5,   49.263888, -101.485380,        5.008
   3,    5,   49.268575, -101.333572,        4.945
   4,    5,   49.273150, -101.181747,        4.883
   5,    5,   49.277615, -101.029908,        4.883
   6,    5,   49.281968, -100.878053,        4.945
   7,    5,   49.286211, -100.726183,        5.320
   8,    5,   49.290342, -100.574299,        5.570
   9,    5,   49.294362, -100.422401,        5.570
  10,    5,   49.298271, -100.270489,        5.445
  11,    5,   49.302068, -100.118564,        5.570
  12,    5,   49.305755,  -99.966626,        5.258
  13,    5,   49.309330,  -99.814676,        5.195
  14,    5,   49.312795,  -99.662713,        5.070
  15,    5,   49.316148,  -99.510739,        4.820
  16,    5,   49.319390,  -99.358754,        4.883
  17,    5,   49.322521,  -99.206757,        4.883
  18,    5,   49.325540,  -99.054750,        4.695
  19,    5,   49.328449,  -98.902733,        4.383
  20,    5,   49.331246,  -98.750706,        4.070
  21,    5,   49.333932,  -98.598670,        3.570
  22,    5,   49.336507,  -98.446624,        2.820
  23,    5,   49.338971,  -98.294570,        2.508
  24,    5,   49.341323,  -98.142507,        2.570
  25,    5,   49.343565,  -97.990437,        2.758
  26,    5,   49.345695,  -97.838359,        2.945
  27,    5,   49.347714,  -97.686274,        3.070
  28,    5,   49.349622,  -97.534182,        3.320
  29,    5,   49.351419,  -97.382084,        3.945
  30,    5,   49.353104,  -97.229980,        4.508
  31,    5,   49.354678,  -97.077870,        5.070
  32,    5,   49.356142,  -96.925755,        5.633
  33,    5,   49.357493,  -96.773635,        6.070
  34,    5,   49.358734,  -96.621511,        6.258
  35,    5,   49.359864,  -96.469382,        6.258
  36,    5,   49.360882,  -96.317250,        6.320
  37,    5,   49.361789,  -96.165115,        6.258
  38,    5,   49.362585,  -96.012976,        6.195
  39,    5,   49.363270,  -95.860835,        6.258
  40,    5,   49.363843,  -95.708692,        6.445
  41,    5,   49.364306,  -95.556547,        6.695
  42,    5,   49.364657,  -95.404401,        6.820
  43,    5,   49.364897,  -95.252254,        6.758
  44,    5,   49.365026,  -95.100106,        6.445
   1,    6,   49.358106, -101.644617,        5.008
   2,    6,   49.362905, -101.492655,        4.883
