36	2786	Lorne	144	MORDEN	8	3	PORTAGE	SOUTH CENTRAL PLANNING DISTRICT	935	M	Midland	Municipality of Lorne	972725808.8	139425.4729	518211	5476810
37	2787	Emerson-Franklin	127	STEINBACH	23	2	STEINBACH	 	 	M	Emerson	Municipality of Emerson-Franklin	1006400662	153425.9151	644502	5444560
38	2790	Swan Valley West	193	SWAN RIVER	24	7	DAUPHIN	SWAN VALLEY PLANNING DISTRICT	937	M	Swan River	Municipality of Swan Valley West	1731612184	220281.9425	334881	5767180
39	78	Grahamdale	606	DAUPHIN	6	8	INTERLAKE (SELKIRK)	 	 	RM	Interlake	RM of Grahamdale	2413422498	545376.7061	541722	5690470
40	85	Dauphin	118	DAUPHIN	6	7	DAUPHIN	LAKESHORE PLANNING DISTRICT	933	RM	Dauphin	RM of Dauphin	1518172091	204183.2958	424812	5670980
41	86	Alonsa	601	DAUPHIN	6	7	DAUPHIN	 	 	RM	Agassiz/Interlake	RM of Alonsa	3043397254	534434.684	494167	5647130
42	2477	Lakeshore	143	DAUPHIN	6	7	DAUPHIN	LAKESHORE PLANNING DISTRICT	933	RM	Dauphin/Swan River	RM of Lakeshore	1319045648	255908.3522	455241	5674770
43	1826	Bifrost-Riverton	105	SELKIRK	22	8	INTERLAKE (SELKIRK)	EASTERN INTERLAKE PLANNING DISTRICT	911	M	Interlake/Gimli	Municipality of Bifrost-Riverton	1652419473	247750.186	628129	5658660
44	1827	Clanwilliam-Erickson	114	MINNEDOSA	7	6	BRANDON	 	 	M	Riding Mountain	Municipality of Clanwilliam-Erickson	387128991.1	78711.20056	442164	5595200
45	1828	Riverdale	443	BRANDON	11	6	BRANDON	 	 	M	Riding Mountain	Riverdale Municipality	582113197.4	98519.80985	408285	5536640
46	1838	Souris-Glenwood	449	SOURIS	9	6	BRANDON	 	 	M	Spruce Woods	Municipality of Souris-Glenwood	581579869.3	98497.86416	409131	5497260
