FID,OBJECTID,MUNI_NAME,MUNI_NO,ASMT_DISTR,ASMT_DIST_,PLAN_RGN_O,PLAN_RGN_1,PLAN_DIST_,PLAN_DIST1,MUNI_STATU,PROV_ELECT,LEGAL_NAME,SHAPE_AREA,SHAPE_LEN,x,y
30,53,Winnipeg Beach,465.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),EASTERN INTERLAKE PLANNING DISTRICT,911,Town,Gimli,Town of Winnipeg Beach,4009018.451069999951869,14953.532354900000428,643685.0000000,5596430.0000000
31,60,Churchill,603.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Kewatinook,Town of Churchill,64862597.180900000035763,37354.887213800000609,782473.0000000,6521130.0000000
32,61,Lynn Lake,614.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Flin Flon,Town of Lynn Lake,1032610450.389999985694885,128545.837211000005482,373873.0000000,6299720.0000000
33,69,Grand Rapids,615.000000000000000,THOMPSON,10,9,THOMPSON, , ,Town,Swan River,Town of Grand Rapids,105683086.924999997019768,51179.031931500001519,479416.0000000,5896360.0000000
34,70,Mountain,617.000000000000000,SWAN RIVER,24,7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,RM,Swan River,RM of Mountain,2627374336.329999923706055,457826.614982000028249,387081.0000000,5779260.0000000
35,2785,Harrison Park,609.000000000000000,MINNEDOSA,07,6,BRANDON, , ,M,Riding Mountain,Municipality of Harrison Park,1121765597.700000047683716,200634.551066000014544,417935.0000000,5600600.0000000
36,2786,Lorne,144.000000000000000,MORDEN,08,3,PORTAGE,SOUTH CENTRAL PLANNING DISTRICT,935,M,Midland,Municipality of Lorne,972725808.830999970436096,139425.472899999993388,518211.0000000,5476810.0000000
37,2787,Emerson-Franklin,127.000000000000000,STEINBACH,23,2,STEINBACH, , ,M,Emerson,Municipality of Emerson-Franklin,1006400662.480000019073486,153425.915077000012388,644502.0000000,5444560.0000000
38,2790,Swan Valley West,193.000000000000000,SWAN RIVER,24,7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,M,Swan River,Municipality of Swan Valley West,1731612183.930000066757202,220281.942506999999750,334881.0000000,5767180.0000000
39,78,Grahamdale,606.000000000000000,DAUPHIN,06,8,INTERLAKE (SELKIRK), , ,RM,Interlake,RM of Grahamdale,2413422497.510000228881836,545376.706098000053316,541722.0000000,5690470.0000000
40,85,Dauphin,118.000000000000000,DAUPHIN,06,7,DAUPHIN,LAKESHORE PLANNING DISTRICT,933,RM,Dauphin,RM of Dauphin,1518172091.099999904632568,204183.295790000003763,424812.0000000,5670980.0000000
41,86,Alonsa,601.000000000000000,DAUPHIN,06,7,DAUPHIN, , ,RM,Agassiz/Interlake,RM of Alonsa,3043397254.039999961853027,534434.684011999983341,494167.0000000,5647130.0000000
42,2477,Lakeshore,143.000000000000000,DAUPHIN,06,7,DAUPHIN,LAKESHORE PLANNING DISTRICT,933,RM,Dauphin/Swan River,RM of Lakeshore,1319045647.859999895095825,255908.352207999996608,455241.0000000,5674770.0000000
43,1826,Bifrost-Riverton,105.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),EASTERN INTERLAKE PLANNING DISTRICT,911,M,Interlake/Gimli,Municipality of Bifrost-Riverton,1652419472.549999952316284,247750.186030999990180,628129.0000000,5658660.0000000
44,1827,Clanwilliam-Erickson,114.000000000000000,MINNEDOSA,07,6,BRANDON, , ,M,Riding Mountain,Municipality of Clanwilliam-Erickson,387128991.063000023365021,78711.200555000003078,442164.0000000,5595200.0000000
45,1828,Riverdale,443.000000000000000,BRANDON,11,6,BRANDON, , ,M,Riding Mountain,Riverdale Municipality,582113197.383999943733215,98519.809854799997993,408285.0000000,5536640.0000000
46,1838,Souris-Glenwood,449.000000000000000,SOURIS,09,6,BRANDON, , ,M,Spruce Woods,Municipality of Souris-Glenwood,581579869.279000043869019,98497.864155300005223,409131.0000000,5497260.0000000
47,1839,Grey,133.000000000000000,PORTAGE,21,3,PORTAGE, , ,RM,Midland,RM of Grey,969667718.406000018119812,137833.758040999993682,566767.0000000,5506740.0000000
48,1840,North Norfolk,156.000000000000000,PORTAGE,21,3,PORTAGE, , ,M,Agassiz,Municipality of North Norfolk,1163335679.059999942779541,139352.751117999985581,512061.0000000,5530960.0000000
49,2145,Oakland-Wawanesa,157.000000000000000,BRANDON,11,6,BRANDON, , ,M,Spruce Woods,Municipality of Oakland-Wawanesa,580471974.532999992370605,98396.758986600005301,438716.0000000,5496840.0000000
50,2150,Prairie Lakes,192.000000000000000,SOURIS,09,6,BRANDON,23 WEST PLANNING DISTRICT,946,RM,Spruce Woods,RM of Prairie Lakes,1097388683.160000085830688,179112.813630999997258,454296.0000000,5472480.0000000
51,2151,West Interlake,185.000000000000000,DAUPHIN,06,8,INTERLAKE (SELKIRK),WESTERN INTERLAKE PLANNING DISTRICT (W.I.P.D.),906,M,Interlake,RM of West Interlake,1785603159.519999980926514,401041.065301000024192,545095.0000000,5648200.0000000
52,1829,North Cypress-Langford,155.000000000000000,BRANDON,11,6,BRANDON,CYPRESS PLANNING DISTRICT,901,M,Agassiz/Spruce Woods,Municipality of North Cypress-Langford,1771294981.549999952316284,213396.995154000003822,471456.0000000,5538330.0000000
53,2146,Prairie View,403.000000000000000,MINNEDOSA,07,6,BRANDON,MID-WEST PLANNING DISTRICT,931,M,Arthur-Virden/Riding Mountain,Prairie View Municipality,1741531174.349999904632568,180689.706044999998994,358805.0000000,5577080.0000000
54,2147,Oakview,107.000000000000000,MINNEDOSA,07,6,BRANDON,MID-WEST PLANNING DISTRICT,931,RM,Riding Mountain,RM of Oakview,1161172506.279999971389771,140702.406240000011167,413125.0000000,5561170.0000000
55,90,Fisher,605.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),FISHER ARMSTRONG PLANNING DISTRICT,940,RM,Interlake,RM of Fisher,1497540573.130000114440918,200272.959701999992831,594031.0000000,5658580.0000000
56,96,Dauphin,411.000000000000000,DAUPHIN,06,7,DAUPHIN, , ,City,Dauphin,City of Dauphin,12284208.010900000110269,22946.189090399999259,426709.0000000,5666850.0000000
57,2152,Brenda-Waskada,109.000000000000000,SOURIS,09,6,BRANDON,SOUTHWEST PLANNING DISTRICT,936,M,Arthur-Virden,Municipality of Brenda-Waskada,778217212.736999988555908,121975.053830999997444,375923.0000000,5448590.0000000
58,2153,Two Borders,122.000000000000000,SOURIS,09,6,BRANDON,SOUTHWEST PLANNING DISTRICT,936,M,Arthur-Virden,Municipality of Two Borders,2328428565.139999866485596,208587.514862000010908,346344.0000000,5459200.0000000
59,106,Armstrong,602.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),FISHER ARMSTRONG PLANNING DISTRICT,940,RM,Lakeside,RM of Armstrong,1926994103.710000038146973,206992.845605000009527,609717.0000000,5615230.0000000
60,108,Gimli,129.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),EASTERN INTERLAKE PLANNING DISTRICT,911,RM,Gimli,RM of Gimli,319104646.948000013828278,117270.064683000004152,638065.0000000,5613940.0000000
61,110,Victoria Beach,198.000000000000000,SELKIRK,22,1,BEAUSEJOUR, , ,RM,Lac du Bonnet,RM of Victoria Beach,20890583.527300000190735,39004.784202900002128,673584.0000000,5622880.0000000
