FID,OBJECTID,MUNI_NAME,MUNI_NO,ASMT_DISTR,ASMT_DIST_,PLAN_RGN_O,PLAN_RGN_1,PLAN_DIST_,PLAN_DIST1,MUNI_STATU,PROV_ELECT,LEGAL_NAME,SHAPE_AREA,SHAPE_LEN,x,y
123,185,Virden,461.000000000000000,SOURIS,09,6,BRANDON,TRANS CANADA WEST PLANNING DISTRICT,921,Town,Arthur-Virden,Town of Virden,8441011.724409999325871,17672.161291500000516,361152.0000000,5524600.0000000
124,139,Woodlands,206.000000000000000,PORTAGE,21,8,INTERLAKE (SELKIRK), , ,RM,Lakeside,RM of Woodlands,1241186660.789999961853027,160876.505891999986488,591598.0000000,5563040.0000000
125,2789,Pembina,161.000000000000000,MORDEN,08,4,MORDEN, , ,M,Midland,Municipality of Pembina,1143491802.150000095367432,158739.977402999997139,536377.0000000,5446980.0000000
126,2788,Rhineland,164.000000000000000,MORDEN,08,4,MORDEN,"RHINELAND, PLUM COULEE, GRETNA, ALTONA P.D.",948,M,Emerson,Municipality of Rhineland,960687447.080000042915344,150992.921056999999564,599531.0000000,5442220.0000000
127,166,St. François Xavier,177.000000000000000,PORTAGE,21,3,PORTAGE,WHITE HORSE PLAINS PLANNING DISTRICT,945,RM,Morris,RM of St. François Xavier,208344267.129000008106232,156855.686419000005117,595745.0000000,5537970.0000000
128,2466,Glenella-Lansdowne,142.000000000000000,MINNEDOSA,07,6,BRANDON,NEEPAWA AND AREA PLANNING DISTRICT,907,M,Agassiz,Municipality of Glenella-Lansdowne,1275803095.720000028610229,210541.060589000000618,485085.0000000,5584900.0000000
129,186,Cornwallis,116.000000000000000,BRANDON,11,6,BRANDON,BRANDON AND AREA PLANNING DISTRICT,910,RM,Spruce Woods,RM of Cornwallis,504795149.411000013351440,140904.764420999999857,439723.0000000,5515780.0000000
130,187,Carberry,407.000000000000000,BRANDON,11,6,BRANDON,CYPRESS PLANNING DISTRICT,901,Town,Agassiz,Town of Carberry,4965356.530340000055730,14599.834170699999959,474879.0000000,5524170.0000000
131,141,Teulon,363.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),SOUTH INTERLAKE PLANNING DISTRICT,908,Town,Lakeside,Town of Teulon,3119901.281919999979436,8272.960284180000599,623820.0000000,5582760.0000000
132,2475,Riding Mountain West,181.000000000000000,DAUPHIN,06,7,DAUPHIN,TRI-ROADS PLANNING DISTRICT,922,RM,Riding Mountain,RM of Riding Mountain West,1743903962.819999933242798,200889.981946000014432,345635.0000000,5641430.0000000
133,188,Macdonald,146.000000000000000,PORTAGE,21,3,PORTAGE,MACDONALD-RITCHOT PLANNING DISTRICT,919,RM,Morris,RM of Macdonald,1159810968.250000000000000,148702.325760000006994,610941.0000000,5502850.0000000
134,189,Taché,194.000000000000000,STEINBACH,23,2,STEINBACH, , ,RM,Dawson Trail,RM of Taché,582517633.200999975204468,128137.636408999998821,663964.0000000,5511130.0000000
135,190,Pipestone,162.000000000000000,SOURIS,09,6,BRANDON,DENNIS COUNTY PLANNING DISTRICT,932,RM,Arthur-Virden,RM of Pipestone,1162203695.500000000000000,137786.946720000007190,345208.0000000,5503630.0000000
136,225,St. Andrews,174.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,RM,Gimli,RM of St. Andrews,810368994.565000057220459,154922.353544000012334,642711.0000000,5571020.0000000
