   X,    Y,    Latitude,   Longitude, VGRD_201908240000
  44,    3,   49.166680,  -95.099881,        5.121
   1,    4,   49.159986, -101.629744,       -0.629
   2,    4,   49.164782, -101.478121,       -0.379
   3,    4,   49.169468, -101.326482,       -0.191
   4,    4,   49.174043, -101.174827,       -0.066
   5,    4,   49.178506, -101.023157,        0.059
   6,    4,   49.182859, -100.871472,        0.059
   7,    4,   49.187100, -100.719771,       -0.066
   8,    4,   49.191230, -100.568057,       -0.129
   9,    4,   49.195249, -100.416329,       -0.191
  10,    4,   49.199157, -100.264587,       -0.191
  11,    4,   49.202954, -100.112832,       -0.191
  12,    4,   49.206640,  -99.961064,       -0.379
  13,    4,   49.210215,  -99.809283,       -0.379
  14,    4,   49.213678,  -99.657491,       -0.316
  15,    4,   49.217030,  -99.505687,       -0.254
  16,    4,   49.220272,  -99.353871,       -0.066
  17,    4,   49.223402,  -99.202045,        0.121
  18,    4,   49.226421,  -99.050208,        0.309
  19,    4,   49.229328,  -98.898361,        0.496
  20,    4,   49.232125,  -98.746504,        0.746
  21,    4,   49.234810,  -98.594637,        0.996
  22,    4,   49.237385,  -98.442762,        1.434
  23,    4,   49.239848,  -98.290878,        1.934
  24,    4,   49.242200,  -98.138986,        2.684
  25,    4,   49.244441,  -97.987086,        3.434
  26,    4,   49.246571,  -97.835178,        3.934
  27,    4,   49.248589,  -97.683264,        4.309
  28,    4,   49.250497,  -97.531342,        4.684
  29,    4,   49.252293,  -97.379414,        4.996
  30,    4,   49.253978,  -97.227480,        5.246
  31,    4,   49.255552,  -97.075541,        5.621
  32,    4,   49.257015,  -96.923596,        6.246
  33,    4,   49.258366,  -96.771647,        6.996
  34,    4,   49.259607,  -96.619693,        7.809
  35,    4,   49.260736,  -96.467735,        8.371
  36,    4,   49.261754,  -96.315774,        9.059
  37,    4,   49.262661,  -96.163809,        9.746
  38,    4,   49.263457,  -96.011841,       10.309
  39,    4,   49.264142,  -95.859870,       10.809
  40,    4,   49.264715,  -95.707898,       11.184
  41,    4,   49.265177,  -95.555923,       11.434
  42,    4,   49.265528,  -95.403948,       11.059
  43,    4,   49.265768,  -95.251971,        9.434
  44,    4,   49.265897,  -95.099993,        5.496
   1,    5,   49.259090, -101.637172,       -0.566
   2,    5,   49.263888, -101.485380,       -0.316
   3,    5,   49.268575, -101.333572,       -0.191
   4,    5,   49.273150, -101.181747,       -0.066
   5,    5,   49.277615, -101.029908,       -0.004
   6,    5,   49.281968, -100.878053,       -0.066
   7,    5,   49.286211, -100.726183,       -0.129
   8,    5,   49.290342, -100.574299,       -0.191
   9,    5,   49.294362, -100.422401,       -0.254
  10,    5,   49.298271, -100.270489,       -0.316
  11,    5,   49.302068, -100.118564,       -0.254
  12,    5,   49.305755,  -99.966626,       -0.379
  13,    5,   49.309330,  -99.814676,       -0.441
  14,    5,   49.312795,  -99.662713,       -0.379
  15,    5,   49.316148,  -99.510739,       -0.254
  16,    5,   49.319390,  -99.358754,       -0.129
  17,    5,   49.322521,  -99.206757,        0.121
  18,    5,   49.325540,  -99.054750,        0.309
  19,    5,   49.328449,  -98.902733,        0.496
  20,    5,   49.331246,  -98.750706,        0.746
  21,    5,   49.333932,  -98.598670,        1.121
  22,    5,   49.336507,  -98.446624,        1.496
  23,    5,   49.338971,  -98.294570,        2.059
  24,    5,   49.341323,  -98.142507,        2.746
  25,    5,   49.343565,  -97.990437,        3.371
  26,    5,   49.345695,  -97.838359,        3.934
  27,    5,   49.347714,  -97.686274,        4.309
  28,    5,   49.349622,  -97.534182,        4.559
  29,    5,   49.351419,  -97.382084,        4.684
  30,    5,   49.353104,  -97.229980,        4.934
  31,    5,   49.354678,  -97.077870,        5.246
  32,    5,   49.356142,  -96.925755,        5.684
  33,    5,   49.357493,  -96.773635,        6.371
  34,    5,   49.358734,  -96.621511,        7.184
  35,    5,   49.359864,  -96.469382,        7.684
  36,    5,   49.360882,  -96.317250,        8.309
  37,    5,   49.361789,  -96.165115,        8.934
  38,    5,   49.362585,  -96.012976,        9.496
  39,    5,   49.363270,  -95.860835,       10.121
  40,    5,   49.363843,  -95.708692,       10.621
  41,    5,   49.364306,  -95.556547,       10.934
  42,    5,   49.364657,  -95.404401,       10.559
  43,    5,   49.364897,  -95.252254,        8.621
  44,    5,   49.365026,  -95.100106,        4.309
   1,    6,   49.358106, -101.644617,       -0.566
   2,    6,   49.362905, -101.492655,       -0.441
   3,    6,   49.367593, -101.340677,       -0.254
   4,    6,   49.372169, -101.188683,       -0.191
   5,    6,   49.376635, -101.036673,       -0.191
   6,    6,   49.380990, -100.884648,       -0.191
   7,    6,   49.385233, -100.732609,       -0.254
   8,    6,   49.389365, -100.580555,       -0.254
   9,    6,   49.393386, -100.428486,       -0.316
  10,    6,   49.397296, -100.276405,       -0.441
  11,    6,   49.401094, -100.124309,       -0.441
  12,    6,   49.404782,  -99.972201,       -0.441
  13,    6,   49.408358,  -99.820081,       -0.379
  14,    6,   49.411823,  -99.667948,       -0.379
  15,    6,   49.415177,  -99.515803,       -0.316
  16,    6,   49.418420,  -99.363648,       -0.129
  17,    6,   49.421551,  -99.211481,        0.121
  18,    6,   49.424571,  -99.059303,        0.371
  19,    6,   49.427481,  -98.907116,        0.621
