7,DAUPHIN, , ,M,Agassiz,RM of McCreary,530436113.9,108425.1275,469602,5622760
7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,M,Swan River,RM of Minitonas-Bowsman,1204303640,141877.2252,364626,5778850
6,BRANDON,TANNER'S CROSSING PLANNING DISTRICT,930,RM,Riding Mountain,RM of Minto-Odanah,758398643,136902.8697,442534,5565660
4,MORDEN, , ,RM,Emerson,RM of Montcalm,471715285.1,147661.7382,622067,5449770
4,MORDEN, , ,RM,Morris,RM of Morris,1041848206,155901.2463,610209,5474140
7,DAUPHIN,LAKESHORE PLANNING DISTRICT,933,RM,Swan River,RM of Mossey River,1136379487,349843.8101,429193,5718390
7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,RM,Swan River,RM of Mountain,2627374336,457826.615,387081,5779260
3,PORTAGE,SOUTH CENTRAL PLANNING DISTRICT,935,M,Midland,RM of Norfolk Treherne,745045438.7,113433.4529,529543,5501900
6,BRANDON,CYPRESS PLANNING DISTRICT,901,M,Agassiz/Spruce Woods,RM of North Cypress-Langford,1771294982,213396.9952,471456,5538330
3,PORTAGE, , ,M,Agassiz,RM of North Norfolk,1163335679,139352.7511,512061,5530960
6,BRANDON, , ,M,Spruce Woods,RM of Oakland-Wawanesa,580471974.5,98396.75899,438716,5496840
6,BRANDON,MID-WEST PLANNING DISTRICT,931,RM,Riding Mountain,RM of Oakview,1161172506,140702.4062,413125,5561170
4,MORDEN, , ,M,Midland,RM of Pembina,1143491802,158739.9774,536377,5446980
1,BEAUSEJOUR, , ,LGD,Lac du Bonnet,RM of Pinawa,136956421.4,62967.70453,717504,5561880
2,STEINBACH, , ,RM,La Verendrye,RM of Piney,2462329988,249102.7958,725288,5453260
6,BRANDON,DENNIS COUNTY PLANNING DISTRICT,932,RM,Arthur-Virden,RM of Pipestone,1162203696,137786.9467,345208,5503630
3,PORTAGE,PORTAGE LA PRAIRIE PLANNING DISTRICT,944,RM,Portage la Prairie,RM of Portage La Prairie,2087041811,247465.3428,555090,5538850
6,BRANDON,23 WEST PLANNING DISTRICT,946,RM,Spruce Woods,RM of Prairie Lakes,1097388683,179112.8136,454296,5472480
6,BRANDON,MID-WEST PLANNING DISTRICT,931,M,Arthur-Virden/Riding Mountain,RM of Prairie View,1741531174,180689.706,358805,5577080
1,BEAUSEJOUR,WHITEMOUTH REYNOLDS PLANNING DISTRICT,928,RM,La Verendrye,RM of Reynolds,3580530223,363977.6924,719031,5510110
4,MORDEN,"RHINELAND, PLUM COULEE, GRETNA, ALTONA P.D.",948,M,Emerson,RM of Rhineland,960687447.1,150992.9211,599531,5442220
7,DAUPHIN,TRI-ROADS PLANNING DISTRICT,922,RM,Riding Mountain,RM of Riding Mountain West,1743903963,200889.9819,345635,5641430
3,PORTAGE,MACDONALD-RITCHOT PLANNING DISTRICT,919,RM,Dawson Trail/Morris,RM of Ritchot,338191560.9,111035.713,637698,5501880
6,BRANDON, , ,M,Riding Mountain,RM of Riverdale,582113197.4,98519.80985,408285,5536640
7,DAUPHIN, , ,M,Dauphin/Swan River,RM of Hillsburg-Roblin-Shell River,1789124131,193464.286,340387,5689420
8,INTERLAKE (SELKIRK),SOUTH INTERLAKE PLANNING DISTRICT,908,RM,Lakeside,RM of Rockwood,1202807328,166204.9351,622024,5571820
4,MORDEN, , ,RM,Midland,RM of Roland,485124020.4,88654.34429,579869,5467480
6,BRANDON,NEEPAWA AND AREA PLANNING DISTRICT,907,RM,Agassiz,RM of Rosedale,867749283.8,132020.2833,461583,5587720
7,DAUPHIN, , ,M,Riding Mountain,RM of Rossburn,776537875.6,118240.5919,375854,5619720
8,INTERLAKE (SELKIRK),SOUTH INTERLAKE PLANNING DISTRICT,908,RM,Lakeside,RM of Rosser,442253000.1,115095.038,613823,5540440
