   X,    Y,    Latitude,   Longitude, UGRD_201907130000
   1,    4,   49.159986, -101.629744,       -0.920
   2,    4,   49.164782, -101.478121,       -0.830
   3,    4,   49.169468, -101.326482,       -0.690
   4,    4,   49.174043, -101.174827,       -0.520
   5,    4,   49.178506, -101.023157,       -0.320
   6,    4,   49.182859, -100.871472,       -0.100
   7,    4,   49.187100, -100.719771,        0.130
   8,    4,   49.191230, -100.568057,        0.300
   9,    4,   49.195249, -100.416329,        0.400
  10,    4,   49.199157, -100.264587,        0.450
  11,    4,   49.202954, -100.112832,        0.460
  12,    4,   49.206640,  -99.961064,        0.470
  13,    4,   49.210215,  -99.809283,        0.490
  14,    4,   49.213678,  -99.657491,        0.560
  15,    4,   49.217030,  -99.505687,        0.690
  16,    4,   49.220272,  -99.353871,        0.890
  17,    4,   49.223402,  -99.202045,        1.130
  18,    4,   49.226421,  -99.050208,        1.390
  19,    4,   49.229328,  -98.898361,        1.630
  20,    4,   49.232125,  -98.746504,        1.790
  21,    4,   49.234810,  -98.594637,        1.810
  22,    4,   49.237385,  -98.442762,        1.670
  23,    4,   49.239848,  -98.290878,        1.560
  24,    4,   49.242200,  -98.138986,        1.550
  25,    4,   49.244441,  -97.987086,        1.660
  26,    4,   49.246571,  -97.835178,        1.840
  27,    4,   49.248589,  -97.683264,        1.970
  28,    4,   49.250497,  -97.531342,        2.060
  29,    4,   49.252293,  -97.379414,        2.110
  30,    4,   49.253978,  -97.227480,        2.140
  31,    4,   49.255552,  -97.075541,        2.150
  32,    4,   49.257015,  -96.923596,        2.150
  33,    4,   49.258366,  -96.771647,        2.140
  34,    4,   49.259607,  -96.619693,        2.130
  35,    4,   49.260736,  -96.467735,        2.130
  36,    4,   49.261754,  -96.315774,        2.090
  37,    4,   49.262661,  -96.163809,        2.030
  38,    4,   49.263457,  -96.011841,        1.990
  39,    4,   49.264142,  -95.859870,        2.010
  40,    4,   49.264715,  -95.707898,        2.070
  41,    4,   49.265177,  -95.555923,        2.110
  42,    4,   49.265528,  -95.403948,        2.060
  43,    4,   49.265768,  -95.251971,        1.840
  44,    4,   49.265897,  -95.099993,        1.380
   1,    5,   49.259090, -101.637172,       -0.720
   2,    5,   49.263888, -101.485380,       -0.680
   3,    5,   49.268575, -101.333572,       -0.580
   4,    5,   49.273150, -101.181747,       -0.450
   5,    5,   49.277615, -101.029908,       -0.300
   6,    5,   49.281968, -100.878053,       -0.140
   7,    5,   49.286211, -100.726183,        0.020
   8,    5,   49.290342, -100.574299,        0.150
   9,    5,   49.294362, -100.422401,        0.240
  10,    5,   49.298271, -100.270489,        0.300
  11,    5,   49.302068, -100.118564,        0.350
  12,    5,   49.305755,  -99.966626,        0.410
  13,    5,   49.309330,  -99.814676,        0.480
  14,    5,   49.312795,  -99.662713,        0.580
  15,    5,   49.316148,  -99.510739,        0.720
  16,    5,   49.319390,  -99.358754,        0.910
  17,    5,   49.322521,  -99.206757,        1.150
  18,    5,   49.325540,  -99.054750,        1.410
  19,    5,   49.328449,  -98.902733,        1.630
  20,    5,   49.331246,  -98.750706,        1.760
  21,    5,   49.333932,  -98.598670,        1.700
  22,    5,   49.336507,  -98.446624,        1.580
  23,    5,   49.338971,  -98.294570,        1.530
  24,    5,   49.341323,  -98.142507,        1.590
  25,    5,   49.343565,  -97.990437,        1.750
  26,    5,   49.345695,  -97.838359,        1.900
  27,    5,   49.347714,  -97.686274,        2.000
  28,    5,   49.349622,  -97.534182,        2.060
  29,    5,   49.351419,  -97.382084,        2.070
  30,    5,   49.353104,  -97.229980,        2.060
  31,    5,   49.354678,  -97.077870,        2.020
  32,    5,   49.356142,  -96.925755,        1.980
  33,    5,   49.357493,  -96.773635,        1.950
  34,    5,   49.358734,  -96.621511,        1.960
  35,    5,   49.359864,  -96.469382,        1.990
  36,    5,   49.360882,  -96.317250,        1.970
  37,    5,   49.361789,  -96.165115,        1.940
  38,    5,   49.362585,  -96.012976,        1.930
  39,    5,   49.363270,  -95.860835,        2.000
  40,    5,   49.363843,  -95.708692,        2.080
  41,    5,   49.364306,  -95.556547,        2.160
  42,    5,   49.364657,  -95.404401,        2.160
  43,    5,   49.364897,  -95.252254,        2.000
  44,    5,   49.365026,  -95.100106,        1.640
   1,    6,   49.358106, -101.644617,       -0.550
   2,    6,   49.362905, -101.492655,       -0.540
   3,    6,   49.367593, -101.340677,       -0.490
   4,    6,   49.372169, -101.188683,       -0.410
   5,    6,   49.376635, -101.036673,       -0.320
   6,    6,   49.380990, -100.884648,       -0.210
   7,    6,   49.385233, -100.732609,       -0.090
   8,    6,   49.389365, -100.580555,        0.020
   9,    6,   49.393386, -100.428486,        0.130
  10,    6,   49.397296, -100.276405,        0.230
  11,    6,   49.401094, -100.124309,        0.340
  12,    6,   49.404782,  -99.972201,        0.430
  13,    6,   49.408358,  -99.820081,        0.530
  14,    6,   49.411823,  -99.667948,        0.630
  15,    6,   49.415177,  -99.515803,        0.750
  16,    6,   49.418420,  -99.363648,        0.930
  17,    6,   49.421551,  -99.211481,        1.160
  18,    6,   49.424571,  -99.059303,        1.390
  19,    6,   49.427481,  -98.907116,        1.590
  20,    6,   49.430279,  -98.754918,        1.670
  21,    6,   49.432965,  -98.602711,        1.590
  22,    6,   49.435541,  -98.450495,        1.520
  23,    6,   49.438005,  -98.298270,        1.520
  24,    6,   49.440358,  -98.146037,        1.630
  25,    6,   49.442600,  -97.993796,        1.800
  26,    6,   49.444731,  -97.841547,        1.930
  27,    6,   49.446750,  -97.689291,        2.020
  28,    6,   49.448659,  -97.537029,        2.050
  29,    6,   49.450456,  -97.384760,        2.030
  30,    6,   49.452142,  -97.232485,        1.970
  31,    6,   49.453716,  -97.080204,        1.880
  32,    6,   49.455180,  -96.927918,        1.790
  33,    6,   49.456532,  -96.775628,        1.730
  34,    6,   49.457773,  -96.623332,        1.750
  35,    6,   49.458903,  -96.471033,        1.800
  36,    6,   49.459921,  -96.318730,        1.820
  37,    6,   49.460829,  -96.166424,        1.840
  38,    6,   49.461625,  -96.014114,        1.900
  39,    6,   49.462310,  -95.861802,        2.000
  40,    6,   49.462883,  -95.709488,        2.110
  41,    6,   49.463346,  -95.557173,        2.200
  42,    6,   49.463697,  -95.404855,        2.220
  43,    6,   49.463937,  -95.252537,        2.040
  44,    6,   49.464066,  -95.100218,        1.870
   1,    7,   49.457033, -101.652079,       -0.410
   2,    7,   49.461833, -101.499947,       -0.440
   3,    7,   49.466522, -101.347799,       -0.420
   4,    7,   49.471100, -101.195634,       -0.380
   5,    7,   49.475567, -101.043454,       -0.330
   6,    7,   49.479922, -100.891259,       -0.250
   7,    7,   49.484166, -100.739049,       -0.150
   8,    7,   49.488300, -100.586824,       -0.040
   9,    7,   49.492321, -100.434586,        0.100
  10,    7,   49.496232, -100.282333,        0.250
  11,    7,   49.500032, -100.130068,        0.390
  12,    7,   49.503720,  -99.977789,        0.500
  13,    7,   49.507297,  -99.825498,        0.600
  14,    7,   49.510763,  -99.673194,        0.690
  15,    7,   49.514117,  -99.520879,        0.800
  16,    7,   49.517361,  -99.368552,        0.950
  17,    7,   49.520493,  -99.216215,        1.140
  18,    7,   49.523514,  -99.063866,        1.330
  19,    7,   49.526424,  -98.911508,        1.500
  20,    7,   49.529222,  -98.759139,        1.550
